rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0271.jpg,108.4,0.6693,0.9025,0.7,0.04,27,14,False,False
77,frame_0190.jpg,76.0,0.6685,0.929,0.6,0.12,22,12,False,False
78,frame_0170.jpg,68.0,0.6661,0.9003,0.4,0.48,29,8,False,False
79,frame_0275.jpg,110.0,0.6651,0.9542,0.6,0.04,28,12,False,False
80,frame_0333.jpg,133.2,0.665,0.9079,0.65,0.08,31,13,False,False
81,frame_0226.jpg,90.4,0.6649,0.9238,0.65,0.04,23,13,False,False
82,frame_0112.jpg,44.8,0.664,0.888,0.6,0.2,24,12,False,False
83,frame_0385.jpg,154.0,0.6634,0.7368,0.85,0.2,29,17,False,False
84,frame_0096.jpg,38.4,0.6631,0.9182,0.6,0.12,25,12,False,False
85,frame_0314.jpg,125.6,0.6623,0.8727,0.7,0.08,23,14,False,False
86,frame_0171.jpg,68.4,0.6622,0.8484,0.5,0.44,27,10,False,False
87,frame_0390.jpg,156.0,0.6612,0.9304,0.6,0.08,32,12,False,False
88,frame_0393.jpg,157.2,0.6611,0.8563,0.75,0.04,28,15,False,False
89,frame_0328.jpg,131.2,0.6602,0.8984,0.65,0.08,36,13,False,False
90,frame_0081.jpg,32.4,0.6598,0.9516,0.4,0.32,19,8,False,False
91,frame_0274.jpg,109.6,0.6596,0.9271,0.6,0.08,28,12,False,False
92,frame_0387.jpg,154.8,0.6596,0.9092,0.55,0.2,31,11,False,False
93,frame_0079.jpg,31.6,0.6593,0.9227,0.5,0.24,23,10,False,False
94,frame_0083.jpg,33.2,0.6585,0.9171,0.4,0.4,22,8,False,False
95,frame_0097.jpg,38.8,0.6561,0.8902,0.65,0.08,25,13,False,False
96,frame_0327.jpg,130.8,0.6561,0.8462,0.75,0.04,31,15,False,False
97,frame_0068.jpg,27.2,0.6544,0.8729,0.7,0.04,28,14,False,False
98,frame_0391.jpg,156.4,0.6531,0.8701,0.7,0.04,28,14,False,False
99,frame_0308.jpg,123.2,0.6525,0.851,0.65,0.16,24,13,False,False
100,frame_0109.jpg,43.6,0.6522,0.9123,0.6,0.08,28,12,False,False
101,frame_0183.jpg,73.2,0.6519,0.8678,0.7,0.04,24,14,False,False
102,frame_0289.jpg,115.6,0.6501,0.8782,0.65,0.08,19,13,False,False
103,frame_0301.jpg,120.4,0.6471,0.8641,0.45,0.4,21,9,False,False
104,frame_0398.jpg,159.2,0.6457,0.8653,0.55,0.24,27,11,False,False
105,frame_0232.jpg,92.8,0.6419,0.8137,0.65,0.2,31,13,False,False
106,frame_0300.jpg,120.0,0.6405,0.957,0.3,0.36,18,6,False,False
107,frame_0175.jpg,70.0,0.6347,0.8874,0.45,0.28,25,9,False,False
108,frame_0268.jpg,107.2,0.6347,0.9074,0.55,0.08,25,11,False,False
109,frame_0223.jpg,89.2,0.6341,0.9341,0.45,0.16,22,9,False,False
110,frame_0113.jpg,45.2,0.6337,0.8713,0.5,0.24,22,10,False,False
111,frame_0070.jpg,28.0,0.6336,0.9191,0.5,0.12,26,10,False,False
112,frame_0078.jpg,31.2,0.6335,0.8869,0.5,0.2,22,10,False,False
113,frame_0280.jpg,112.0,0.6335,0.813,0.65,0.16,23,13,False,False
114,frame_0179.jpg,71.6,0.6332,0.8283,0.65,0.12,27,13,False,False
115,frame_0216.jpg,86.4,0.6325,0.913,0.4,0.28,20,8,False,False
116,frame_0381.jpg,152.4,0.6323,0.8586,0.65,0.04,27,13,False,False
117,frame_0176.jpg,70.4,0.6301,0.8943,0.45,0.24,27,9,False,False
118,frame_0310.jpg,124.0,0.629,0.896,0.55,0.08,25,11,False,False
119,frame_0318.jpg,127.2,0.6287,0.8614,0.5,0.24,28,10,False,False
120,frame_0098.jpg,39.2,0.6283,0.8506,0.65,0.04,23,13,False,False
121,frame_0320.jpg,128.0,0.6273,0.8586,0.5,0.24,30,10,False,False
122,frame_0071.jpg,28.4,0.6271,0.9223,0.5,0.08,22,10,False,False
123,frame_0181.jpg,72.4,0.6267,0.9074,0.55,0.04,25,11,False,False
124,frame_0009.jpg,3.6,0.6261,0.8682,0.4,0.36,16,8,False,False
