rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7009,0.8684,0.2222,1.0,7,2,False,True
2,frame_0025.jpg,10.0,0.6865,0.973,0.0,1.0,1,0,False,True
3,frame_0067.jpg,26.8,0.6766,0.6199,0.5556,1.0,7,5,False,True
4,frame_0378.jpg,151.2,0.6757,0.7193,1.0,0.08,11,9,False,True
5,frame_0019.jpg,7.6,0.6676,0.8686,0.1111,1.0,1,1,False,True
6,frame_0276.jpg,110.4,0.6643,0.8326,0.6667,0.24,8,6,False,True
7,frame_0000.jpg,0.0,0.6584,0.7169,0.3333,1.0,7,3,False,True
8,frame_0209.jpg,83.6,0.6557,0.8235,0.3333,0.72,3,3,False,True
9,frame_0031.jpg,12.4,0.6503,0.7007,0.3333,1.0,7,3,False,True
10,frame_0291.jpg,116.4,0.6498,0.697,0.4444,0.84,6,4,False,True
11,frame_0367.jpg,146.8,0.6408,0.8496,0.6667,0.08,8,6,False,True
12,frame_0077.jpg,30.8,0.6337,0.782,0.2222,0.88,7,2,False,False
13,frame_0071.jpg,28.4,0.6317,0.6634,0.3333,1.0,5,3,False,False
14,frame_0284.jpg,113.6,0.628,0.832,0.3333,0.56,5,3,False,True
15,frame_0386.jpg,154.4,0.6262,0.823,0.5556,0.24,12,5,False,False
16,frame_0079.jpg,31.6,0.6245,0.729,0.3333,0.8,7,3,False,False
17,frame_0328.jpg,131.2,0.6115,0.7243,0.7778,0.08,11,7,False,False
18,frame_0069.jpg,27.6,0.6098,0.6196,0.3333,1.0,5,3,False,False
19,frame_0126.jpg,50.4,0.606,0.708,0.3333,0.76,7,3,False,False
20,frame_0169.jpg,67.6,0.6033,0.732,0.4444,0.52,6,4,False,False
21,frame_0129.jpg,51.6,0.5977,0.6434,0.3333,0.88,5,3,False,False
22,frame_0390.jpg,156.0,0.5858,0.7396,0.6667,0.08,7,6,False,False
23,frame_0376.jpg,150.4,0.5853,0.84,0.4444,0.16,7,4,False,False
24,frame_0072.jpg,28.8,0.5833,0.5666,0.3333,1.0,6,3,False,False
25,frame_0004.jpg,1.6,0.5761,0.6188,0.2222,1.0,4,2,False,False
