rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
26,frame_0015.jpg,6.0,0.5744,0.6154,0.2222,1.0,4,2,False,False
27,frame_0122.jpg,48.8,0.5736,0.7739,0.2222,0.6,3,2,False,False
28,frame_0068.jpg,27.2,0.5727,0.5455,0.3333,1.0,8,3,False,False
29,frame_0293.jpg,117.2,0.5702,0.6364,0.3333,0.76,5,3,False,False
30,frame_0074.jpg,29.6,0.5645,0.5957,0.2222,1.0,7,2,False,False
31,frame_0127.jpg,50.8,0.5629,0.6059,0.3333,0.8,7,3,False,False
32,frame_0105.jpg,42.0,0.5626,0.7598,0.5556,0.08,5,5,False,False
33,frame_0368.jpg,147.2,0.5625,0.6424,0.7778,0.04,9,7,False,False
34,frame_0010.jpg,4.0,0.5621,0.6576,0.1111,1.0,1,1,False,False
35,frame_0007.jpg,2.8,0.562,0.5241,0.3333,1.0,5,3,False,False
36,frame_0294.jpg,117.6,0.5611,0.5676,0.4444,0.72,5,4,False,False
37,frame_0114.jpg,45.6,0.5601,0.6748,0.5556,0.28,7,5,False,False
38,frame_0070.jpg,28.0,0.56,0.5866,0.2222,1.0,6,2,False,False
39,frame_0288.jpg,115.2,0.5587,0.5627,0.4444,0.72,8,4,False,False
40,frame_0301.jpg,120.4,0.5563,0.6033,0.5556,0.44,6,5,False,False
41,frame_0005.jpg,2.0,0.555,0.5101,0.3333,1.0,6,3,False,False
42,frame_0089.jpg,35.6,0.5547,0.6161,0.5556,0.4,6,5,False,False
43,frame_0231.jpg,92.4,0.5541,0.8443,0.3333,0.16,8,3,False,False
44,frame_0389.jpg,155.6,0.5528,0.6576,0.6667,0.12,9,6,False,False
45,frame_0306.jpg,122.4,0.5512,0.7398,0.4444,0.24,7,4,False,False
46,frame_0274.jpg,109.6,0.5506,0.7706,0.4444,0.16,7,4,False,False
47,frame_0095.jpg,38.0,0.5505,0.7036,0.5556,0.16,6,5,False,False
48,frame_0379.jpg,151.6,0.5467,0.6774,0.6667,0.04,9,6,False,False
49,frame_0002.jpg,0.8,0.5466,0.4932,0.3333,1.0,6,3,False,False
50,frame_0387.jpg,154.8,0.5463,0.6792,0.5556,0.2,10,5,False,False
51,frame_0329.jpg,131.6,0.5452,0.725,0.5556,0.08,9,5,False,False
52,frame_0375.jpg,150.0,0.5417,0.8035,0.3333,0.2,8,3,False,False
53,frame_0175.jpg,70.0,0.5412,0.7037,0.4444,0.28,7,4,False,False
54,frame_0026.jpg,10.4,0.5396,0.5459,0.2222,1.0,3,2,False,False
55,frame_0302.jpg,120.8,0.5391,0.5849,0.5556,0.4,6,5,False,False
56,frame_0275.jpg,110.0,0.5378,0.729,0.4444,0.2,9,4,False,False
57,frame_0397.jpg,158.8,0.5337,0.7207,0.4444,0.2,8,4,False,False
58,frame_0011.jpg,4.4,0.5327,0.532,0.2222,1.0,3,2,False,False
59,frame_0001.jpg,0.4,0.5318,0.5302,0.2222,1.0,7,2,False,False
60,frame_0170.jpg,68.0,0.5295,0.667,0.3333,0.48,6,3,False,False
61,frame_0013.jpg,5.2,0.5238,0.5143,0.2222,1.0,3,2,False,False
62,frame_0124.jpg,49.6,0.523,0.5741,0.3333,0.68,6,3,False,False
63,frame_0219.jpg,87.6,0.5202,0.7125,0.3333,0.32,3,3,False,False
64,frame_0318.jpg,127.2,0.5177,0.7395,0.3333,0.24,7,3,False,False
65,frame_0320.jpg,128.0,0.5151,0.6008,0.5556,0.24,7,5,False,False
66,frame_0176.jpg,70.4,0.5143,0.666,0.4444,0.24,8,4,False,False
67,frame_0033.jpg,13.2,0.5142,0.4951,0.2222,1.0,7,2,False,False
68,frame_0028.jpg,11.2,0.5139,0.4945,0.2222,1.0,2,2,False,False
69,frame_0104.jpg,41.6,0.5113,0.7079,0.4444,0.12,4,4,False,False
70,frame_0388.jpg,155.2,0.5104,0.6902,0.4444,0.16,10,4,False,False
71,frame_0008.jpg,3.2,0.5061,0.6123,0.0,1.0,3,0,False,False
72,frame_0075.jpg,30.0,0.5055,0.427,0.3333,0.96,7,3,False,False
73,frame_0014.jpg,5.6,0.5048,0.4763,0.2222,1.0,4,2,False,False
74,frame_0098.jpg,39.2,0.5048,0.7269,0.4444,0.04,7,4,False,False
75,frame_0307.jpg,122.8,0.5042,0.595,0.5556,0.2,8,5,False,False
76,frame_0003.jpg,1.2,0.5036,0.4072,0.3333,1.0,6,3,False,False
77,frame_0030.jpg,12.0,0.5033,0.4066,0.3333,1.0,7,3,False,False
78,frame_0381.jpg,152.4,0.5,0.7174,0.4444,0.04,7,4,False,False
79,frame_0315.jpg,126.0,0.4981,0.6149,0.5556,0.12,7,5,False,False
80,frame_0029.jpg,11.6,0.4979,0.4625,0.2222,1.0,5,2,False,False
81,frame_0210.jpg,84.0,0.4971,0.5888,0.2222,0.68,3,2,False,False
82,frame_0128.jpg,51.2,0.4963,0.5232,0.2222,0.84,6,2,False,False
83,frame_0321.jpg,128.4,0.4948,0.643,0.4444,0.2,7,4,False,False
84,frame_0133.jpg,53.2,0.4931,0.3863,0.3333,1.0,9,3,False,False
85,frame_0207.jpg,82.8,0.4916,0.4633,0.3333,0.8,3,3,False,False
86,frame_0292.jpg,116.8,0.4885,0.5236,0.2222,0.8,6,2,False,False
87,frame_0396.jpg,158.4,0.4882,0.6458,0.4444,0.16,10,4,False,False
88,frame_0278.jpg,111.2,0.488,0.5813,0.4444,0.32,8,4,False,False
89,frame_0298.jpg,119.2,0.4863,0.5487,0.3333,0.56,5,3,False,False
90,frame_0024.jpg,9.6,0.4853,0.5706,0.0,1.0,1,0,False,False
91,frame_0290.jpg,116.0,0.4847,0.4494,0.3333,0.8,7,3,False,False
92,frame_0377.jpg,150.8,0.4841,0.6535,0.4444,0.12,10,4,False,False
93,frame_0018.jpg,7.2,0.4783,0.4233,0.2222,1.0,4,2,False,False
94,frame_0120.jpg,48.0,0.4782,0.5484,0.3333,0.52,5,3,False,False
95,frame_0087.jpg,34.8,0.4746,0.6906,0.1111,0.48,3,1,False,False
96,frame_0021.jpg,8.4,0.4736,0.3472,0.3333,1.0,4,3,False,False
97,frame_0131.jpg,52.4,0.4732,0.429,0.2222,0.96,4,2,False,False
98,frame_0130.jpg,52.0,0.4725,0.4436,0.2222,0.92,6,2,False,False
99,frame_0297.jpg,118.8,0.472,0.5706,0.2222,0.6,5,2,False,False
100,frame_0332.jpg,132.8,0.4718,0.5943,0.5556,0.04,8,5,False,False
101,frame_0214.jpg,85.6,0.4713,0.6013,0.2222,0.52,3,2,False,False
102,frame_0398.jpg,159.2,0.4694,0.6429,0.3333,0.24,9,3,False,False
103,frame_0113.jpg,45.2,0.4681,0.5735,0.4444,0.24,7,4,False,False
104,frame_0277.jpg,110.8,0.4678,0.6236,0.3333,0.28,8,3,False,False
105,frame_0384.jpg,153.6,0.4674,0.7375,0.2222,0.16,6,2,False,False
106,frame_0168.jpg,67.2,0.4616,0.6326,0.1111,0.56,6,1,False,False
107,frame_0115.jpg,46.0,0.4594,0.5241,0.4444,0.32,6,4,False,False
108,frame_0020.jpg,8.0,0.4578,0.449,0.1111,1.0,3,1,False,False
109,frame_0319.jpg,127.6,0.4565,0.4676,0.5556,0.28,9,5,False,False
110,frame_0374.jpg,149.6,0.4548,0.6297,0.3333,0.2,12,3,False,False
111,frame_0203.jpg,81.2,0.4545,0.4531,0.3333,0.64,4,3,False,False
112,frame_0184.jpg,73.6,0.453,0.6741,0.3333,0.08,6,3,False,False
113,frame_0208.jpg,83.2,0.4517,0.466,0.2222,0.76,4,2,False,False
114,frame_0285.jpg,114.0,0.4505,0.5944,0.1111,0.6,6,1,False,False
115,frame_0314.jpg,125.6,0.45,0.668,0.3333,0.08,4,3,False,False
116,frame_0078.jpg,31.2,0.4498,0.4302,0.2222,0.84,5,2,False,False
117,frame_0123.jpg,49.2,0.4492,0.5757,0.1111,0.64,5,1,False,False
118,frame_0173.jpg,69.2,0.4461,0.5482,0.3333,0.36,6,3,False,False
119,frame_0109.jpg,43.6,0.4458,0.593,0.4444,0.08,6,4,False,False
120,frame_0308.jpg,123.2,0.4451,0.6263,0.3333,0.16,6,3,False,False
121,frame_0085.jpg,34.0,0.4431,0.5288,0.2222,0.56,3,2,False,False
122,frame_0032.jpg,12.8,0.4393,0.3452,0.2222,1.0,5,2,False,False
123,frame_0303.jpg,121.2,0.4379,0.5318,0.3333,0.36,6,3,False,False
124,frame_0287.jpg,114.8,0.4376,0.4698,0.2222,0.68,6,2,False,False
125,frame_0286.jpg,114.4,0.4373,0.4852,0.2222,0.64,5,2,False,False
126,frame_0183.jpg,73.2,0.4361,0.7896,0.1111,0.04,4,1,False,False
127,frame_0081.jpg,32.4,0.436,0.3841,0.3333,0.72,5,3,False,False
128,frame_0205.jpg,82.0,0.4355,0.4497,0.2222,0.72,2,2,False,False
129,frame_0027.jpg,10.8,0.4354,0.4708,0.0,1.0,2,0,False,False
130,frame_0316.jpg,126.4,0.4348,0.5389,0.4444,0.16,8,4,False,False
131,frame_0229.jpg,91.6,0.4335,0.5016,0.5556,0.08,8,5,False,False
132,frame_0279.jpg,111.6,0.4322,0.5204,0.3333,0.36,6,3,False,False
133,frame_0167.jpg,66.8,0.4321,0.4908,0.2222,0.6,6,2,False,False
134,frame_0317.jpg,126.8,0.4281,0.6429,0.2222,0.2,7,2,False,False
135,frame_0023.jpg,9.2,0.4278,0.3889,0.1111,1.0,3,1,False,False
136,frame_0076.jpg,30.4,0.4259,0.3505,0.2222,0.92,5,2,False,False
137,frame_0280.jpg,112.0,0.4254,0.5575,0.2222,0.4,5,2,False,False
138,frame_0395.jpg,158.0,0.4244,0.6009,0.3333,0.12,8,3,False,False
139,frame_0016.jpg,6.4,0.424,0.3147,0.2222,1.0,6,2,False,False
140,frame_0228.jpg,91.2,0.4239,0.6318,0.3333,0.04,5,3,False,False
141,frame_0202.jpg,80.8,0.4224,0.4048,0.3333,0.6,5,3,False,False
142,frame_0012.jpg,4.8,0.4211,0.3089,0.2222,1.0,4,2,False,False
143,frame_0132.jpg,52.8,0.4208,0.3749,0.1111,1.0,7,1,False,False
144,frame_0193.jpg,77.2,0.4207,0.5455,0.3333,0.24,6,3,False,False
145,frame_0330.jpg,132.0,0.4199,0.6239,0.3333,0.04,8,3,False,False
146,frame_0186.jpg,74.4,0.4182,0.4871,0.5556,0.04,10,5,False,False
147,frame_0083.jpg,33.2,0.418,0.4467,0.2222,0.64,3,2,False,False
148,frame_0370.jpg,148.0,0.4177,0.5528,0.4444,0.04,8,4,False,False
149,frame_0391.jpg,156.4,0.4158,0.5489,0.4444,0.04,10,4,False,False
150,frame_0296.jpg,118.4,0.4141,0.4388,0.2222,0.64,6,2,False,False
151,frame_0094.jpg,37.6,0.4114,0.5428,0.3333,0.2,4,3,False,False
152,frame_0309.jpg,123.6,0.4086,0.5692,0.3333,0.12,6,3,False,False
153,frame_0305.jpg,122.0,0.4066,0.5013,0.3333,0.28,5,3,False,False
154,frame_0117.jpg,46.8,0.4062,0.519,0.2222,0.4,6,2,False,False
155,frame_0216.jpg,86.4,0.4056,0.5685,0.1111,0.44,3,1,False,False
156,frame_0022.jpg,8.8,0.4035,0.2737,0.2222,1.0,3,2,False,False
157,frame_0177.jpg,70.8,0.4035,0.5936,0.2222,0.2,6,2,False,False
158,frame_0283.jpg,113.2,0.4005,0.4597,0.2222,0.52,5,2,False,False
159,frame_0017.jpg,6.8,0.3997,0.2661,0.2222,1.0,5,2,False,False
160,frame_0185.jpg,74.0,0.3989,0.5658,0.3333,0.08,8,3,False,False
161,frame_0272.jpg,108.8,0.3937,0.6221,0.2222,0.08,3,2,False,False
162,frame_0322.jpg,128.8,0.3933,0.456,0.4444,0.16,7,4,False,False
163,frame_0327.jpg,130.8,0.393,0.6367,0.2222,0.04,9,2,False,False
164,frame_0090.jpg,36.0,0.3927,0.5748,0.1111,0.36,4,1,False,False
165,frame_0080.jpg,32.0,0.3915,0.3456,0.2222,0.76,5,2,False,False
166,frame_0300.jpg,120.0,0.3912,0.4571,0.2222,0.48,5,2,False,False
167,frame_0125.jpg,50.0,0.3894,0.3575,0.2222,0.72,5,2,False,False
168,frame_0206.jpg,82.4,0.3882,0.3391,0.2222,0.76,3,2,False,False
169,frame_0225.jpg,90.0,0.3857,0.606,0.2222,0.08,7,2,False,False
170,frame_0200.jpg,80.0,0.3852,0.4958,0.1111,0.52,2,1,False,False
171,frame_0268.jpg,107.2,0.3852,0.4718,0.4444,0.08,5,4,False,False
172,frame_0103.jpg,41.2,0.3841,0.5043,0.3333,0.16,5,3,False,False
173,frame_0232.jpg,92.8,0.3833,0.5532,0.2222,0.2,5,2,False,False
174,frame_0180.jpg,72.0,0.3822,0.399,0.5556,0.08,6,5,False,False
175,frame_0082.jpg,32.8,0.3809,0.3564,0.2222,0.68,4,2,False,False
176,frame_0230.jpg,92.0,0.379,0.5766,0.2222,0.12,8,2,False,False
177,frame_0333.jpg,133.2,0.3766,0.5879,0.2222,0.08,7,2,False,False
178,frame_0201.jpg,80.4,0.3765,0.3957,0.2222,0.56,3,2,False,False
179,frame_0289.jpg,115.6,0.3764,0.4488,0.0,0.76,5,0,False,False
180,frame_0211.jpg,84.4,0.3763,0.4299,0.1111,0.64,2,1,False,False
181,frame_0299.jpg,119.6,0.3742,0.4071,0.2222,0.52,5,2,False,False
182,frame_0273.jpg,109.2,0.3739,0.5664,0.2222,0.12,6,2,False,False
183,frame_0174.jpg,69.6,0.3738,0.4862,0.2222,0.32,5,2,False,False
184,frame_0121.jpg,48.4,0.3734,0.3895,0.2222,0.56,5,2,False,False
185,frame_0189.jpg,75.6,0.3708,0.5096,0.3333,0.08,4,3,False,False
186,frame_0195.jpg,78.0,0.3702,0.479,0.2222,0.32,3,2,False,False
187,frame_0179.jpg,71.6,0.3694,0.4908,0.3333,0.12,6,3,False,False
188,frame_0006.jpg,2.4,0.3684,0.3368,0.0,1.0,4,0,False,False
189,frame_0233.jpg,93.2,0.3673,0.5053,0.2222,0.24,6,2,False,False
190,frame_0385.jpg,154.0,0.3673,0.5212,0.2222,0.2,11,2,False,False
191,frame_0088.jpg,35.2,0.3666,0.4905,0.1111,0.44,4,1,False,False
192,frame_0091.jpg,36.4,0.3664,0.4715,0.2222,0.32,3,2,False,False
193,frame_0204.jpg,81.6,0.3659,0.3264,0.2222,0.68,2,2,False,False
194,frame_0295.jpg,118.0,0.3638,0.389,0.1111,0.68,6,1,False,False
195,frame_0199.jpg,79.6,0.3633,0.468,0.1111,0.48,1,1,False,False
196,frame_0304.jpg,121.6,0.3595,0.4576,0.2222,0.32,5,2,False,False
197,frame_0188.jpg,75.2,0.3593,0.5027,0.3333,0.04,10,3,False,False
198,frame_0116.jpg,46.4,0.3575,0.4377,0.2222,0.36,7,2,False,False
199,frame_0198.jpg,79.2,0.3567,0.4708,0.1111,0.44,2,1,False,False
200,frame_0215.jpg,86.0,0.3545,0.3836,0.2222,0.48,4,2,False,False
201,frame_0100.jpg,40.0,0.3535,0.4911,0.3333,0.04,4,3,False,False
202,frame_0269.jpg,107.6,0.3525,0.489,0.3333,0.04,6,3,False,False
203,frame_0399.jpg,159.6,0.3515,0.3911,0.3333,0.28,6,3,False,False
204,frame_0394.jpg,157.6,0.3508,0.5362,0.2222,0.08,7,2,False,False
205,frame_0220.jpg,88.0,0.3487,0.5188,0.1111,0.28,4,1,False,False
206,frame_0181.jpg,72.4,0.3475,0.5456,0.2222,0.04,4,2,False,False
207,frame_0222.jpg,88.8,0.3468,0.4136,0.3333,0.2,5,3,False,False
208,frame_0217.jpg,86.8,0.3448,0.4629,0.1111,0.4,3,1,False,False
209,frame_0373.jpg,149.2,0.3438,0.4903,0.2222,0.16,7,2,False,False
210,frame_0218.jpg,87.2,0.3427,0.4747,0.1111,0.36,3,1,False,False
211,frame_0171.jpg,68.4,0.3416,0.3739,0.2222,0.44,7,2,False,False
212,frame_0108.jpg,43.2,0.341,0.466,0.3333,0.04,6,3,False,False
213,frame_0119.jpg,47.6,0.3402,0.355,0.2222,0.48,4,2,False,False
214,frame_0112.jpg,44.8,0.3391,0.5316,0.1111,0.2,5,1,False,False
215,frame_0313.jpg,125.2,0.3388,0.5949,0.1111,0.04,2,1,False,False
216,frame_0009.jpg,3.6,0.3376,0.2752,0.0,1.0,2,0,False,False
217,frame_0383.jpg,153.2,0.3369,0.4258,0.3333,0.12,6,3,False,False
218,frame_0194.jpg,77.6,0.3348,0.4243,0.2222,0.28,5,2,False,False
219,frame_0084.jpg,33.6,0.3317,0.3567,0.1111,0.6,4,1,False,False
220,frame_0172.jpg,68.8,0.3315,0.3696,0.2222,0.4,6,2,False,False
221,frame_0281.jpg,112.4,0.3315,0.4203,0.1111,0.44,5,1,False,False
222,frame_0212.jpg,84.8,0.3298,0.3529,0.1111,0.6,2,1,False,False
223,frame_0086.jpg,34.4,0.3288,0.3162,0.2222,0.52,5,2,False,False
224,frame_0192.jpg,76.8,0.3223,0.3647,0.3333,0.2,5,3,False,False
225,frame_0226.jpg,90.4,0.3187,0.488,0.2222,0.04,5,2,False,False
226,frame_0197.jpg,78.8,0.3167,0.4068,0.1111,0.4,1,1,False,False
227,frame_0178.jpg,71.2,0.3133,0.496,0.1111,0.16,6,1,False,False
228,frame_0097.jpg,38.8,0.3122,0.4591,0.2222,0.08,5,2,False,False
229,frame_0213.jpg,85.2,0.3072,0.3903,0.0,0.56,4,0,False,False
230,frame_0271.jpg,108.4,0.3057,0.5288,0.1111,0.04,3,1,False,False
231,frame_0118.jpg,47.2,0.2961,0.3496,0.1111,0.44,4,1,False,False
232,frame_0282.jpg,112.8,0.2911,0.3235,0.1111,0.48,6,1,False,False
233,frame_0190.jpg,76.0,0.2905,0.4663,0.1111,0.12,3,1,False,False
234,frame_0382.jpg,152.8,0.2884,0.4782,0.1111,0.08,11,1,False,False
235,frame_0196.jpg,78.4,0.2879,0.3651,0.1111,0.36,3,1,False,False
236,frame_0191.jpg,76.4,0.2861,0.3749,0.2222,0.16,3,2,False,False
237,frame_0325.jpg,130.0,0.286,0.4226,0.2222,0.04,4,2,False,False
238,frame_0096.jpg,38.4,0.284,0.4534,0.1111,0.12,7,1,False,False
239,frame_0371.jpg,148.4,0.2795,0.3937,0.2222,0.08,6,2,False,False
240,frame_0221.jpg,88.4,0.2777,0.326,0.2222,0.24,4,2,False,False
241,frame_0106.jpg,42.4,0.272,0.4614,0.1111,0.04,7,1,False,False
242,frame_0092.jpg,36.8,0.2706,0.3625,0.1111,0.28,3,1,False,False
243,frame_0267.jpg,106.8,0.2672,0.353,0.2222,0.12,5,2,False,False
244,frame_0223.jpg,89.2,0.2629,0.3284,0.2222,0.16,6,2,False,False
245,frame_0393.jpg,157.2,0.2609,0.3725,0.2222,0.04,6,2,False,False
246,frame_0110.jpg,44.0,0.2582,0.3351,0.2222,0.12,3,2,False,False
247,frame_0224.jpg,89.6,0.2461,0.4442,0.0,0.12,5,0,False,False
248,frame_0324.jpg,129.6,0.2407,0.3161,0.2222,0.08,7,2,False,False
249,frame_0101.jpg,40.4,0.2379,0.4438,0.0,0.08,6,0,False,False
250,frame_0093.jpg,37.2,0.2366,0.3105,0.1111,0.24,4,1,False,False
251,frame_0111.jpg,44.4,0.2275,0.3909,0.0,0.16,4,0,False,False
252,frame_0323.jpg,129.2,0.2167,0.3188,0.1111,0.12,6,1,False,False
253,frame_0372.jpg,148.8,0.2044,0.2942,0.1111,0.12,7,1,False,False
254,frame_0311.jpg,124.4,0.2015,0.3204,0.1111,0.04,4,1,False,False
255,frame_0310.jpg,124.0,0.1685,0.2384,0.1111,0.08,5,1,False,False
256,frame_0102.jpg,40.8,0.1676,0.2872,0.0,0.12,5,0,False,False
